"003000036624","AM03","second test for ip30 run","3","","000000042032","820","","","103","20211122","1000055108","ESAI-ALG-QBI","OR003000036624","RELR PRC MANC NMAT SSAP CRTD","CRTD WOST","","20211122","B","","20211122","IP1020211017","0000500100","8630","500100","CM Crane Repair","Central Maintenance","GM - Central Maintenance","2021-11-22","Week 2","10-CRTD","Auto-Gen","CRTD","No Materials on Order","No Equipment on Order","QBI","","Update Required","OutDated Status","0.00",,,,0,0,56,1,"2021-11-14"
"003000036512","AM03","Plan 1","","","000000041905","800","","","103","20211115","1000054981","ESAI-ALG","OR003000036512","PRC MANC CRTD SSAP NMAT RELR","WOST CRTD","","20211115","A","","20211115","IP1020211010","0000500100","8000","500100","TRNS E Auto Repair","Transportation Services","GM - Shipping\, Transp & Prod Planning","2021-11-15","Week 1","10-CRTD","Auto-Gen","CRTD","No Materials on Order","No Equipment on Order","","","Update Required","OutDated Status","0.00",,,,0,0,224,1,"2021-11-14"
"007000009575","AM07","Cleaning and Elect. Repairs to 9L/C MCC","3","","000001238804","840","","0","102","20211201","1006356833",,"OR007000009575","REL SSAP PRC SETC NMAT",,"","20211025","B","007000009497","20211201","MBURMAST","0000511330","8400","511330","COKE Battery Elect","Cokemaking","GM - Cokemaking & Ironmaking","2021-12-01","Week 3",,"MBURMAST","REL","No Materials on Order","No Equipment on Order",,,"Update Required","OutDated Status","0.00",,,,0,2144.21,,1,"2021-11-12"
"003000036750","AM03","second test for ip30 run","3","","000000042255","820","","","103","20211129","1000055331","ESAI-ALG-QBI","OR003000036750","PRC RELR SSAP NMAT MANC CRTD","CRTD WOST","","20211129","B","","20211129","IP1020211025","0000500100","8630","500100","CM Crane Repair","Central Maintenance","GM - Central Maintenance","2021-11-29","Week 3","10-CRTD","Auto-Gen","CRTD","No Materials on Order","No Equipment on Order","QBI","","Update Required","OutDated Status","0.00",,,,0,0,56,1,"2021-11-14"
"003000036544","AM03","Plan 1","","","000000041937","800","","","103","20211116","1000055013","ESAI-ALG","OR003000036544","SSAP MANC NMAT RELR CRTD PRC","WOST CRTD","","20211116","A","","20211116","IP1020211012","0000500100","8000","500100","TRNS E Auto Repair","Transportation Services","GM - Shipping\, Transp & Prod Planning","2021-11-16","Week 1","10-CRTD","Auto-Gen","CRTD","No Materials on Order","No Equipment on Order","","","Update Required","OutDated Status","0.00",,,,0,0,224,1,"2021-11-14"
"003000036845","AM03","second test for ip30 run","3","","000000042351","820","","","103","20211206","1000055427","ESAI-ALG-QBI","OR003000036845","CRTD SSAP RELR MANC PRC NMAT","WOST CRTD","","20211206","B","","20211206","IP1020211031","0000500100","8630","500100","CM Crane Repair","Central Maintenance","GM - Central Maintenance","2021-12-06","Week 4","10-CRTD","Auto-Gen","CRTD","No Materials on Order","No Equipment on Order","QBI","","Update Required","OutDated Status","0.00",,,,0,0,56,1,"2021-11-14"
"002000257975","AM02","Precipitator area lighting project","3","","000001426962","839","PHO2021","1","118","20211122","1007106431",,"OR002000257975","CRTD SSAP PRC MANC",,"","20211122","B","002000257475","20211122","CSHERWOO","0000511120","8390","511320","COKE Service Elect","Cokemaking","GM - Cokemaking & Ironmaking","2021-11-22","Week 2",,"CSHERWOO","CRTD","Materials on Order","No Equipment on Order",,,"Update Required","OutDated Status","0.00",,9239.41,466.20000000000005,0,0,,1,"2021-11-12"
"003000036558","AM03","Plan 1","","","000000041951","800","","","103","20211117","1000055027","ESAI-ALG","OR003000036558","NMAT MANC RELR CRTD PRC SSAP","CRTD WOST","","20211117","A","","20211117","IP1020211013","0000500100","8000","500100","TRNS E Auto Repair","Transportation Services","GM - Shipping\, Transp & Prod Planning","2021-11-17","Week 1","10-CRTD","Auto-Gen","CRTD","No Materials on Order","No Equipment on Order","","","Update Required","OutDated Status","0.00",,,,0,0,224,1,"2021-11-14"
"003000036911","AM03","second test for ip30 run","3","","000000042418","820","","","103","20211209","1000055494","ESAI-ALG-QBI","OR003000036911","PRC MANC RELR SSAP NMAT CRTD","CRTD WOST","","20211209","B","","20211209","IP1020211104","0000500100","8630","500100","CM Crane Repair","Central Maintenance","GM - Central Maintenance","2021-12-09","Week 4","10-CRTD","Auto-Gen","CRTD","No Materials on Order","No Equipment on Order","QBI","","Update Required","OutDated Status","0.00",,,,0,0,56,1,"2021-11-14"
"007000009738","AM07","Insp/Rep 8/9Batt Pringle Sw./Gnd Station","3","","000001275928","844","","0","102","20211201","1006486664",,"OR007000009738","CRTD SSAP PRC MANC NMAT",,"","20211025","B","007000009508","20211201","MBURMAST","0000511330","8440","511110","COKE Operations","Cokemaking","GM - Cokemaking & Ironmaking","2021-12-01","Week 3",,"MBURMAST","CRTD","No Materials on Order","No Equipment on Order",,,"Update Required","OutDated Status","0.00",,,,0,0,,1,"2021-11-12"
"003000036559","AM03","Plan 2","","","000000041952","800","","","103","20211117","1000055028","ESAI-ALG","OR003000036559","PRC NMAT MANC RELR CRTD SSAP","WOST CRTD","","20211117","A","","20211117","IP1020211013","0000500100","8000","500100","TRNS E Auto Repair","Transportation Services","GM - Shipping\, Transp & Prod Planning","2021-11-17","Week 1","10-CRTD","Auto-Gen","CRTD","No Materials on Order","No Equipment on Order","","","Update Required","OutDated Status","0.00",,,,0,0,224,1,"2021-11-14"
